Time,Target,Cohort,Rhyme,Unrelated
0,0,0,0,0
33.3,0,0,0,0.000
66.7,0.001381724,0.001381724,0,0.000
100,0.013480428,0.013480428,0,0.000
133.3,0.01190794,0.01190794,0,0.000
166.7,0.012523964,0.012523964,0.001665735,0.000
200,0.028782609,0.040265206,0.010129126,0.000
233.3,0.043134349,0.065882375,0.010129126,0.000
266.7,0.087005106,0.092015897,0.013571722,0.000
300,0.102383609,0.085057112,0.027774773,0.000
333.3,0.14082698,0.125,0.055941281,0.000
366.7,0.155348857,0.142088485,0.059985945,0.000
400,0.199571687,0.147345735,0.078327114,0.000
433.3,0.228544978,0.171795296,0.085323432,0.000
466.7,0.311381315,0.159814004,0.098445226,0.000
500,0.353086992,0.184251849,0.098895236,0.004
533.3,0.401229244,0.181511752,0.089151844,0.014
566.7,0.456095537,0.155196295,0.095224717,0.028
600,0.513144486,0.138198355,0.093009518,0.031
633.3,0.588112564,0.137453201,0.070120907,0.031
666.7,0.673606818,0.085,0.070547656,0.030
700,0.731958362,0.052041128,0.068770795,0.041
733.3,0.761459803,0.039766429,0.073966909,0.042
766.7,0.844237434,0.026253739,0.07024954,0.022
800,0.918765484,0.016161777,0.041030954,0.013
833.3,0.948102605,0.005,0.02949903,0.014
866.7,0.946993662,0.012242355,0.022473534,0.008
900,0.946154611,0.012576771,0.021433127,0.007
933.3,0.958088954,0.010740331,0.026015502,0.010
966.7,0.959591019,0.013016883,0.004518017,0.010
1000,0.962278309,0.011332923,0.004518017,0.010
