Time,Target,Cohort,Rhyme,Unrelated
0.0,0.0000,0.0000,0.0000,0.0000
33.3,0,0,0,0
66.7,0,0,0,0
100.0,0,0,0,0
133.3,0,0,0,0
166.7,0,0,0,0
200.0,0.003631535,0.003631535,0.003631535,0.003631535
233.3,0.020354084,0.020354084,0.018484606,0.018484606
266.7,0.041864888,0.041864888,0.027,0.027
300.0,0.077223326,0.077223326,0.032795901,0.032795901
333.3,0.124511115,0.10653417,0.038936296,0.038936296
366.7,0.174786046,0.14,0.042704492,0.04
400.0,0.233124527,0.16,0.058021226,0.038936296
433.3,0.302591879,0.174,0.065,0.038936296
466.7,0.382992755,0.18,0.07319162,0.035978325
500.0,0.456013462,0.167547481,0.082543747,0.029642719
533.3,0.535130667,0.146861523,0.091402833,0.027807423
566.7,0.60603788,0.12122127,0.098,0.02628945
600.0,0.67557353,0.096337635,0.1,0.022970296
633.3,0.738856525,0.071297775,0.095219833,0.021774451
666.7,0.796755709,0.051641691,0.089040382,0.019553605
700.0,0.828219051,0.036359071,0.082465635,0.015268
733.3,0.874569647,0.03010645,0.077096479,0.014618803
766.7,0.890769898,0.022448015,0.068671747,0.013139886
800.0,0.920500459,0.017435169,0.06,0.017435169
833.3,0.934465191,0.011123999,0.05127076,0.011123999
866.7,0.950514133,0.008224647,0.046950973,0.008224647
900.0,0.955614847,0.008004999,0.039414648,0.008004999
933.3,0.968242155,0.009088549,0.033440225,0.009088549
966.7,0.972605829,0.00834662,0.03,0.00834662
1000.0,0.975754113,0.008283197,0.028,0.008283197
